mic_id,timestamp_onset,timestamp_offset,class_id,confidence,source_file,session_id,source
1,2026-03-05T15:21:53.955150,2026-03-05T15:21:54.205586,2.0,0.23527944087982178,20260305_15_21_47_0562_M1.wav,20260305,mic
1,2026-03-05T15:21:52.976581,2026-03-05T15:21:53.942859,2.0,0.18412962555885315,20260305_15_21_47_0562_M1.wav,20260305,mic
2,2026-03-05T15:21:50.534691,2026-03-05T15:21:54.555780,0.0,0.30229997634887695,20260305_15_21_47_0562_M2.wav,20260305,mic
2,2026-03-05T15:21:50.548757,2026-03-05T15:21:50.958180,3.0,0.2842268645763397,20260305_15_21_47_0562_M2.wav,20260305,mic
2,2026-03-05T15:21:48.798541,2026-03-05T15:21:51.432910,3.0,0.2807466387748718,20260305_15_21_47_0562_M2.wav,20260305,mic
2,2026-03-05T15:21:56.330040,2026-03-05T15:21:56.512944,2.0,0.20881807804107666,20260305_15_21_47_0562_M2.wav,20260305,mic
1,2026-03-05T15:22:06.592061,2026-03-05T15:22:09.045671,6.0,0.758821427822113,20260305_15_21_59_0543_M1.wav,20260305,mic
2,2026-03-05T15:22:06.507927,2026-03-05T15:22:09.054000,6.0,0.15604448318481445,20260305_15_21_59_0543_M2.wav,20260305,mic
1,2026-03-05T15:22:04.507172,2026-03-05T15:22:07.133471,6.0,0.5078137516975403,20260305_15_22_04_0332_M1.wav,20260305,mic
1,2026-03-05T15:22:07.184191,2026-03-05T15:22:09.772777,6.0,0.1791609823703766,20260305_15_22_04_0332_M1.wav,20260305,mic
1,2026-03-05T15:22:07.170903,2026-03-05T15:22:07.422304,0.0,0.17459630966186523,20260305_15_22_04_0332_M1.wav,20260305,mic
2,2026-03-05T15:22:07.119650,2026-03-05T15:22:07.475551,2.0,0.10899710655212402,20260305_15_22_04_0332_M2.wav,20260305,mic
1,2026-03-05T15:22:19.982292,2026-03-05T15:22:22.965184,5.0,0.8072879910469055,20260305_15_22_13_0851_M1.wav,20260305,mic
2,2026-03-05T15:22:20.190667,2026-03-05T15:22:20.585504,2.0,0.7559627890586853,20260305_15_22_13_0851_M2.wav,20260305,mic
2,2026-03-05T15:22:19.698503,2026-03-05T15:22:23.005270,5.0,0.7527923583984375,20260305_15_22_13_0851_M2.wav,20260305,mic
2,2026-03-05T15:22:21.776774,2026-03-05T15:22:23.007711,3.0,0.13217201828956604,20260305_15_22_13_0851_M2.wav,20260305,mic
1,2026-03-05T15:22:24.008720,2026-03-05T15:22:24.428441,0.0,0.6982325911521912,20260305_15_22_18_0656_M1.wav,20260305,mic
1,2026-03-05T15:22:20.295980,2026-03-05T15:22:27.780506,5.0,0.5857223868370056,20260305_15_22_18_0656_M1.wav,20260305,mic
1,2026-03-05T15:22:20.921116,2026-03-05T15:22:24.136868,0.0,0.449311226606369,20260305_15_22_18_0656_M1.wav,20260305,mic
1,2026-03-05T15:22:21.587173,2026-03-05T15:22:22.226066,0.0,0.4023059010505676,20260305_15_22_18_0656_M1.wav,20260305,mic
1,2026-03-05T15:22:21.248280,2026-03-05T15:22:22.441162,0.0,0.3537133038043976,20260305_15_22_18_0656_M1.wav,20260305,mic
1,2026-03-05T15:22:25.559684,2026-03-05T15:22:25.779640,3.0,0.12628909945487976,20260305_15_22_18_0656_M1.wav,20260305,mic
1,2026-03-05T15:22:27.237771,2026-03-05T15:22:27.697462,3.0,0.11540749669075012,20260305_15_22_18_0656_M1.wav,20260305,mic
1,2026-03-05T15:22:25.305926,2026-03-05T15:22:28.065000,3.0,0.11226540803909302,20260305_15_22_18_0656_M1.wav,20260305,mic
1,2026-03-05T15:22:27.248525,2026-03-05T15:22:27.514198,2.0,0.10863906145095825,20260305_15_22_18_0656_M1.wav,20260305,mic
1,2026-03-05T15:22:25.528457,2026-03-05T15:22:25.896236,3.0,0.10501110553741455,20260305_15_22_18_0656_M1.wav,20260305,mic
1,2026-03-05T15:22:22.506113,2026-03-05T15:22:22.900556,2.0,0.10202068090438843,20260305_15_22_18_0656_M1.wav,20260305,mic
2,2026-03-05T15:22:20.159726,2026-03-05T15:22:27.782866,5.0,0.6034893989562988,20260305_15_22_18_0656_M2.wav,20260305,mic
2,2026-03-05T15:22:27.238488,2026-03-05T15:22:28.038230,7.0,0.41574621200561523,20260305_15_22_18_0656_M2.wav,20260305,mic
2,2026-03-05T15:22:18.065000,2026-03-05T15:22:20.623958,6.0,0.3688940405845642,20260305_15_22_18_0656_M2.wav,20260305,mic
2,2026-03-05T15:22:23.711708,2026-03-05T15:22:28.020602,5.0,0.31284505128860474,20260305_15_22_18_0656_M2.wav,20260305,mic
2,2026-03-05T15:22:27.192704,2026-03-05T15:22:27.568934,3.0,0.2658023238182068,20260305_15_22_18_0656_M2.wav,20260305,mic
2,2026-03-05T15:22:20.772396,2026-03-05T15:22:21.155261,2.0,0.24474304914474487,20260305_15_22_18_0656_M2.wav,20260305,mic
2,2026-03-05T15:22:22.493781,2026-03-05T15:22:22.746235,2.0,0.1154489517211914,20260305_15_22_18_0656_M2.wav,20260305,mic
1,2026-03-05T15:22:24.654976,2026-03-05T15:22:25.057517,0.0,0.7736784219741821,20260305_15_22_23_0431_M1.wav,20260305,mic
1,2026-03-05T15:22:23.123566,2026-03-05T15:22:30.699047,5.0,0.6759799718856812,20260305_15_22_23_0431_M1.wav,20260305,mic
1,2026-03-05T15:22:26.163790,2026-03-05T15:22:26.535010,3.0,0.145105242729187,20260305_15_22_23_0431_M1.wav,20260305,mic
1,2026-03-05T15:22:29.590209,2026-03-05T15:22:30.392373,7.0,0.12819579243659973,20260305_15_22_23_0431_M1.wav,20260305,mic
1,2026-03-05T15:22:26.193635,2026-03-05T15:22:26.420847,3.0,0.1203971803188324,20260305_15_22_23_0431_M1.wav,20260305,mic
1,2026-03-05T15:22:28.304480,2026-03-05T15:22:33.013990,0.0,0.11017465591430664,20260305_15_22_23_0431_M1.wav,20260305,mic
1,2026-03-05T15:22:29.232253,2026-03-05T15:22:30.736489,6.0,0.1094750463962555,20260305_15_22_23_0431_M1.wav,20260305,mic
2,2026-03-05T15:22:24.335089,2026-03-05T15:22:30.708104,5.0,0.7568315863609314,20260305_15_22_23_0431_M2.wav,20260305,mic
2,2026-03-05T15:22:27.874264,2026-03-05T15:22:28.336440,3.0,0.2705150544643402,20260305_15_22_23_0431_M2.wav,20260305,mic
2,2026-03-05T15:22:26.400728,2026-03-05T15:22:33.043000,5.0,0.1634417176246643,20260305_15_22_23_0431_M2.wav,20260305,mic
2,2026-03-05T15:22:27.825242,2026-03-05T15:22:29.059259,6.0,0.1437062919139862,20260305_15_22_23_0431_M2.wav,20260305,mic
2,2026-03-05T15:22:26.166361,2026-03-05T15:22:26.491175,2.0,0.12421256303787231,20260305_15_22_23_0431_M2.wav,20260305,mic
2,2026-03-05T15:22:23.145716,2026-03-05T15:22:23.555535,2.0,0.10899782180786133,20260305_15_22_23_0431_M2.wav,20260305,mic
1,2026-03-05T15:30:17.404615,2026-03-05T15:30:18.305653,2.0,0.6265345811843872,20260305_15_30_16_0293_M1.wav,20260305,mic
1,2026-03-05T15:30:17.494665,2026-03-05T15:30:20.781583,3.0,0.3260795474052429,20260305_15_30_16_0293_M1.wav,20260305,mic
2,2026-03-05T15:30:24.818038,2026-03-05T15:30:25.004500,3.0,0.11045920848846436,20260305_15_30_16_0293_M2.wav,20260305,mic
2,2026-03-05T15:30:31.358606,2026-03-05T15:30:31.542672,3.0,0.1400269865989685,20260305_15_30_25_0631_M2.wav,20260305,mic
2,2026-03-05T15:30:34.524491,2026-03-05T15:30:35.023190,7.0,0.11382928490638733,20260305_15_30_25_0631_M2.wav,20260305,mic
1,2026-03-05T15:30:38.965868,2026-03-05T15:30:39.576134,7.0,0.5768797397613525,20260305_15_30_30_0395_M1.wav,20260305,mic
1,2026-03-05T15:30:39.253987,2026-03-05T15:30:39.637911,7.0,0.5642358660697937,20260305_15_30_30_0395_M1.wav,20260305,mic
1,2026-03-05T15:30:30.154433,2026-03-05T15:30:37.444910,5.0,0.26963192224502563,20260305_15_30_30_0395_M1.wav,20260305,mic
1,2026-03-05T15:30:35.405889,2026-03-05T15:30:40.029127,0.0,0.1285094916820526,20260305_15_30_30_0395_M1.wav,20260305,mic
1,2026-03-05T15:30:32.443695,2026-03-05T15:30:35.887981,0.0,0.11456885933876038,20260305_15_30_30_0395_M1.wav,20260305,mic
2,2026-03-05T15:30:39.250122,2026-03-05T15:30:39.698611,7.0,0.5147747993469238,20260305_15_30_30_0395_M2.wav,20260305,mic
2,2026-03-05T15:30:30.100322,2026-03-05T15:30:37.419950,5.0,0.32800644636154175,20260305_15_30_30_0395_M2.wav,20260305,mic
2,2026-03-05T15:30:31.972852,2026-03-05T15:30:32.161897,3.0,0.1690760850906372,20260305_15_30_30_0395_M2.wav,20260305,mic
2,2026-03-05T15:30:36.100668,2026-03-05T15:30:39.952421,5.0,0.12750139832496643,20260305_15_30_30_0395_M2.wav,20260305,mic
1,2026-03-05T15:30:41.008861,2026-03-05T15:30:44.972903,1.0,0.7642947435379028,20260305_15_30_35_0169_M1.wav,20260305,mic
1,2026-03-05T15:30:39.906659,2026-03-05T15:30:40.299260,7.0,0.6734565496444702,20260305_15_30_35_0169_M1.wav,20260305,mic
1,2026-03-05T15:30:39.446883,2026-03-05T15:30:40.249195,7.0,0.4584602117538452,20260305_15_30_35_0169_M1.wav,20260305,mic
1,2026-03-05T15:30:44.092087,2026-03-05T15:30:45.004057,3.0,0.3722159266471863,20260305_15_30_35_0169_M1.wav,20260305,mic
1,2026-03-05T15:30:39.794838,2026-03-05T15:30:40.230265,7.0,0.21535348892211914,20260305_15_30_35_0169_M1.wav,20260305,mic
2,2026-03-05T15:30:39.868959,2026-03-05T15:30:40.254333,7.0,0.7070703506469727,20260305_15_30_35_0169_M2.wav,20260305,mic
2,2026-03-05T15:30:40.339306,2026-03-05T15:30:44.929071,1.0,0.24034366011619568,20260305_15_30_35_0169_M2.wav,20260305,mic
2,2026-03-05T15:30:39.514405,2026-03-05T15:30:40.323866,7.0,0.11992502212524414,20260305_15_30_35_0169_M2.wav,20260305,mic
2,2026-03-05T15:30:39.843316,2026-03-05T15:30:40.135028,7.0,0.11151456832885742,20260305_15_30_35_0169_M2.wav,20260305,mic
2,2026-03-05T15:30:37.672851,2026-03-05T15:30:40.694536,3.0,0.10525599122047424,20260305_15_30_35_0169_M2.wav,20260305,mic
1,2026-03-05T15:30:39.636604,2026-03-05T15:30:40.001304,3.0,0.5792537331581116,20260305_15_30_39_0975_M1.wav,20260305,mic
1,2026-03-05T15:30:39.112370,2026-03-05T15:30:40.372989,0.0,0.3810495138168335,20260305_15_30_39_0975_M1.wav,20260305,mic
1,2026-03-05T15:30:39.451206,2026-03-05T15:30:40.819206,3.0,0.14422279596328735,20260305_15_30_39_0975_M1.wav,20260305,mic
1,2026-03-05T15:30:39.179249,2026-03-05T15:30:41.929119,3.0,0.10527205467224121,20260305_15_30_39_0975_M1.wav,20260305,mic
2,2026-03-05T15:30:44.099753,2026-03-05T15:30:44.712936,2.0,0.8296170234680176,20260305_15_30_39_0975_M2.wav,20260305,mic
2,2026-03-05T15:30:48.263371,2026-03-05T15:30:49.091624,3.0,0.4420276880264282,20260305_15_30_39_0975_M2.wav,20260305,mic
2,2026-03-05T15:30:39.122185,2026-03-05T15:30:40.346205,0.0,0.28807303309440613,20260305_15_30_39_0975_M2.wav,20260305,mic
2,2026-03-05T15:30:39.562271,2026-03-05T15:30:40.170143,7.0,0.23652055859565735,20260305_15_30_39_0975_M2.wav,20260305,mic
2,2026-03-05T15:30:39.154971,2026-03-05T15:30:39.941754,0.0,0.22494706511497498,20260305_15_30_39_0975_M2.wav,20260305,mic
1,2026-03-06T12:07:49.519024,2026-03-06T12:07:50.106001,2.0,0.30749815702438354,20260306_12_07_47_0725_M1.wav,20260306,mic
1,2026-03-06T12:07:49.555018,2026-03-06T12:07:50.348693,2.0,0.278883159160614,20260306_12_07_47_0725_M1.wav,20260306,mic
2,2026-03-06T12:07:56.782610,2026-03-06T12:07:57.024048,3.0,0.18145215511322021,20260306_12_07_47_0725_M2.wav,20260306,mic
1,2026-03-06T12:08:02.196284,2026-03-06T12:08:02.865544,2.0,0.10470658540725708,20260306_12_07_59_0625_M1.wav,20260306,mic
2,2026-03-06T12:08:05.811786,2026-03-06T12:08:06.858652,6.0,0.2620657682418823,20260306_12_07_59_0625_M2.wav,20260306,mic
2,2026-03-06T12:08:08.548523,2026-03-06T12:08:08.749541,2.0,0.1519121527671814,20260306_12_07_59_0625_M2.wav,20260306,mic
